Designator,Mid X,Mid Y,Rotation,Layer
C1,224.0,-124.25,180.0,top
C10,222.27,-120.0,0.0,top
C11,217.75,-129.02,270.0,top
C12,214.775,-110.8,180.0,top
C13,214.775,-112.4,180.0,top
C2,229.1,-121.6,270.0,top
C3,224.2,-127.6,180.0,top
C4,229.0,-126.0,90.0,top
C5,226.5,-119.25,180.0,top
C6,221.52,-121.5,0.0,top
C7,208.75,-125.5,180.0,top
C8,212.52,-116.8,0.0,top
C9,220.75,-126.0,270.0,top
D1,220.0,-114.25,0.0,top
D2,207.75,-103.5,0.0,top
D3,214.75,-114.0,0.0,top
FB1,222.1,-104.0,90.0,top
J1,215.0,-103.0,180.0,top
J2,227.0,-112.81,180.0,top
J3,231.0,-112.81,180.0,top
J5,215.03,-135.98,90.0,top
R1,202.49,-105.6,0.0,top
R10,206.25,-105.5,270.0,top
R11,213.5,-115.25,0.0,top
R3,224.0,-125.4,180.0,top
R4,218.75,-115.5,0.0,top
R5,202.75,-120.009999,90.0,top
R6,200.75,-120.009999,270.0,top
R7,199.5,-120.0,270.0,top
R8,216.25,-108.89,90.0,top
R9,211.75,-108.25,0.0,top
SW1,202.5,-103.25,180.0,top
SW2,227.5,-103.25,0.0,top
U1,215.0,-122.75,90.0,top
U2,207.75,-114.5,90.0,top
U3,201.75,-113.75,90.0,top
Y1,226.9,-122.9,270.0,top
Y3,226.6,-127.2,90.0,top
