Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0402,4,20pF,
"C10, C6, C7, C8, C9",0402,5,100nF,
C11,0402,1,1uF,
"C12, C13",0603,2,22uF,
C5,0603,1,100nF,
"D1, D2, D3",0603,3,LED,
FB1,0603,1,FerriteBead_Small,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,
J2,PinHeader_1x04_P2.54mm_Vertical,1,MLX90614,
J3,PinHeader_1x04_P2.54mm_Vertical,1,OLED,
J5,PinSocket_2x10_P2.54mm_Vertical,1,Conn_02x10_Counter_Clockwise,
R1,0402,1,10K,
"R10, R11, R4",0402,3,330,
R3,0402,1,0,
"R5, R6",0402,2,20R,
R7,0402,1,1.5K,
"R8, R9",0402,2,5.1K,
SW1,SW_TS-1088-AR02016,1,BOOTSEL,
SW2,SW_TS-1088-AR02016,1,RST,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,SOT-23-6_Handsoldering,1,SRV05-4,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8Mhz,
Y3,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,Crystal,
